,iyear,imonth,iday,country_txt,city,attacktype1_txt,targtype1_txt,corp1,target1,natlty1_txt,gname,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill,nwound,propextent_txt,ransomamt
198,2012,1,22,110,10840,0,6,2530,960,127,4,4,1,2194,2.0,0.0,1,15860.45
199,2012,1,22,81,12514,2,19,7297,10933,92,4,2,24,1604,0.0,0.0,1,15860.45
200,2012,1,22,0,532,0,9,5528,4337,53,4,4,25,1604,2.0,0.0,1,15860.45
201,2012,1,22,81,7628,0,6,1292,3359,92,4,4,25,1604,1.0,0.0,1,15860.45
202,2012,1,23,123,10662,3,20,6245,6627,144,4,4,25,1604,0.0,0.0,1,15860.45
203,2012,1,23,123,3431,0,6,5913,8457,144,4,4,25,1604,1.0,0.0,1,15860.45
204,2012,1,23,0,7825,2,12,160,7616,0,2,2,10,1604,0.0,2.0,1,15860.45
205,2012,1,23,81,5932,0,19,7297,10933,92,4,4,25,1604,0.0,0.0,1,15860.45
206,2012,1,23,81,5932,2,12,5470,1813,92,4,2,27,3553,0.0,0.0,1,15860.45
207,2012,1,23,81,5932,2,19,7297,10933,92,4,2,27,4193,0.0,0.0,1,15860.45
208,2012,1,24,97,1876,2,9,2060,1097,37,0,2,27,1604,31.0,70.0,1,15860.45
209,2012,1,24,81,5932,0,12,5470,8205,92,4,2,13,4684,1.0,1.0,1,15860.45
210,2012,1,24,48,1253,1,16,6299,6362,55,4,4,25,5182,1.0,0.0,1,15860.45
211,2012,1,24,76,12368,2,18,7297,1346,87,4,2,24,1604,0.0,0.0,1,15860.45
212,2012,1,24,45,10350,6,2,5054,4071,51,4,4,1,4597,0.0,0.0,1,15860.45
213,2012,1,24,45,9100,6,13,3877,7952,51,4,4,1,4601,1.0,3.0,1,15860.45
214,2012,1,25,82,5577,0,9,5695,7983,96,4,4,25,1604,16.0,17.0,1,15860.45
215,2012,1,25,82,10075,0,12,2136,5690,96,4,4,1,1604,3.0,0.0,1,15860.45
216,2012,1,25,45,5218,2,13,5547,2402,51,4,2,24,1604,0.0,0.0,1,15860.45
217,2012,1,25,0,12514,2,9,5528,9707,53,2,2,13,821,1.0,0.0,1,15860.45
218,2012,1,25,0,4109,2,12,160,7616,0,2,2,24,1604,2.0,2.0,1,15860.45
219,2012,1,26,0,7230,2,9,5528,1270,53,2,2,27,1604,5.0,31.0,1,15860.45
220,2012,1,26,82,11535,0,9,2201,1813,96,4,4,25,1604,6.0,0.0,1,15860.45
221,2012,1,26,81,5932,6,2,1763,4019,92,4,4,25,1604,1.0,0.0,1,15860.45
222,2012,1,26,0,532,2,13,5547,2402,0,2,2,17,1718,2.0,7.0,1,15860.45
223,2012,1,28,97,8390,1,7,6071,3635,114,0,4,7,1185,1.0,0.0,1,15860.45
224,2012,1,28,45,2695,0,6,2024,8268,51,4,4,7,1535,5.0,1.0,1,15860.45
225,2012,1,26,45,8804,8,13,3877,11707,51,4,9,25,1604,1.0,1.0,1,15860.45
226,2012,1,28,123,13174,2,9,7507,181,144,4,2,17,5010,5.0,0.0,2,15860.45
227,2012,1,28,45,2150,3,13,5547,4442,51,4,5,0,1604,0.0,0.0,1,15860.45
228,2012,1,29,97,1876,2,9,2060,3056,37,0,2,24,1604,1.0,0.0,1,15860.45
229,2012,1,29,103,12514,6,2,7297,2959,24,4,9,25,1604,1.0,0.0,1,15860.45
230,2012,1,29,81,5932,2,12,5470,8205,92,4,2,24,1604,2.0,0.0,1,15860.45
231,2012,1,29,45,2854,6,13,3877,11696,51,4,4,25,1604,0.0,1.0,1,15860.45
232,2012,1,29,97,8390,2,9,7074,9315,114,0,2,6,1604,0.0,3.0,1,15860.45
233,2012,1,29,97,8390,2,9,7074,11359,114,0,2,24,1604,2.0,0.0,2,15860.45
234,2012,1,30,81,5932,0,12,5470,7616,92,4,4,25,1604,0.0,0.0,1,15860.45
235,2012,1,30,0,1338,2,12,160,7616,0,2,2,10,1604,1.0,1.0,1,15860.45
236,2012,1,30,81,5932,0,12,5470,8205,92,4,4,25,1604,0.0,0.0,1,15860.45
237,2012,1,30,106,376,0,9,6862,7041,123,4,4,25,1604,6.0,0.0,1,15860.45
238,2012,1,30,81,4134,0,13,5547,2402,92,4,4,25,1604,1.0,0.0,1,15860.45
239,2012,1,30,81,4495,0,9,5477,9799,92,4,4,25,1604,4.0,0.0,1,15860.45
240,2012,1,30,81,9821,0,13,5547,2005,92,4,4,19,4875,1.0,0.0,1,15860.45
241,2012,1,30,0,998,6,6,119,6653,0,2,4,25,1604,0.0,0.0,1,15860.45
242,2012,1,31,82,5577,0,9,5695,1820,96,4,4,25,1604,43.0,62.0,1,15860.45
243,2012,1,31,123,12514,6,5,7259,651,53,4,4,25,1604,0.0,0.0,1,15860.45
244,2012,1,31,97,4124,2,12,6665,4589,114,0,2,22,1604,6.0,0.0,1,15860.45
245,2012,1,31,82,9120,0,2,6966,7102,96,4,4,7,4592,2.0,3.0,1,15860.45
246,2012,1,31,82,10075,6,9,2201,1821,96,4,4,25,5255,7.0,3.0,1,15860.45
247,2012,1,31,0,3969,0,12,160,7405,0,2,4,25,1604,1.0,0.0,1,15860.45
248,2012,1,31,82,8078,6,6,7413,4024,96,4,4,25,1604,0.0,0.0,1,15860.45
249,2012,2,1,82,111,2,13,5547,2402,96,4,2,27,2736,0.0,0.0,1,15860.45
250,2012,1,31,31,896,6,2,7297,1719,24,4,4,25,1604,0.0,0.0,1,15860.45
251,2012,1,31,97,8390,8,9,183,5011,53,0,9,25,1604,8.0,10.0,1,15860.45
252,2012,1,31,82,8010,0,9,2201,1813,96,4,2,17,5054,4.0,3.0,1,15860.45
253,2012,1,31,82,8010,0,9,2201,1813,96,4,2,17,5054,4.0,3.0,1,15860.45
254,2012,2,1,24,12372,2,12,5357,8205,25,4,2,27,1960,9.0,70.0,2,15860.45
255,2012,2,1,106,4793,6,13,5547,7230,54,4,4,25,1604,0.0,0.0,1,15860.45
256,2012,1,31,82,8010,0,9,2201,1813,96,4,4,25,5054,3.0,3.0,1,15860.45
257,2012,2,1,45,2812,2,12,3880,8188,51,4,2,10,1604,3.0,4.0,1,15860.45
258,2012,2,1,86,9502,6,17,5547,1153,88,4,2,13,3899,1.0,0.0,1,15860.45
259,2012,2,1,110,6394,0,9,6991,8741,127,4,4,25,1604,1.0,0.0,1,15860.45
260,2012,2,1,123,4858,0,9,5102,3056,144,4,4,25,1604,3.0,3.0,2,15860.45
261,2012,2,2,24,12641,2,12,5357,8205,25,4,2,17,4210,6.0,34.0,1,15860.45
262,2012,2,3,82,11171,6,9,2201,1821,96,4,4,1,1604,25.0,3.0,1,15860.45
263,2012,2,2,82,10989,0,12,5734,7616,96,4,2,6,2127,3.0,1.0,1,15860.45
264,2012,2,2,0,6344,0,13,5547,10760,0,2,4,25,1604,2.0,0.0,1,15860.45
265,2012,2,2,0,4306,2,2,7297,8475,0,2,2,10,1604,2.0,2.0,1,15860.45
266,2012,2,1,0,10869,6,2,170,4024,0,2,9,25,1604,1.0,0.0,1,15860.45
267,2012,2,2,97,3462,0,9,6638,4337,114,0,4,25,1604,16.0,0.0,1,15860.45
268,2012,2,2,24,2490,2,2,3755,5209,25,4,2,24,1604,1.0,4.0,1,15860.45
269,2012,2,2,24,10280,8,12,5357,7983,25,4,9,25,1604,1.0,1.0,1,15860.45
270,2012,2,3,82,112,2,13,5547,6593,96,4,2,27,2075,4.0,4.0,1,15860.45
271,2012,2,3,82,5961,0,12,5734,7405,96,4,4,25,1604,2.0,0.0,1,15860.45
272,2012,2,3,0,6416,2,9,150,7983,0,2,2,10,1531,1.0,2.0,1,15860.45
